 Mortalidade - Minas Gerais
Óbitos p/Residênc por Faixa Etária e Sexo
Período:2010
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";1826;1495;15;3336
"1 a 4 anos";322;236;-;558
"5 a 9 anos";205;147;-;352
"10 a 14 anos";339;192;-;531
"15 a 19 anos";1267;347;1;1615
"20 a 29 anos";3920;1053;-;4973
"30 a 39 anos";4497;1886;-;6383
"40 a 49 anos";6970;3578;-;10548
"50 a 59 anos";10033;5635;2;15670
"60 a 69 anos";11347;7641;-;18988
"70 a 79 anos";13638;11713;1;25352
"80 anos e mais";13734;18653;2;32389
"Idade ignorada";81;18;9;108
"Total";68179;52594;30;120803
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
