 População Residente - Rio Grande do Sul
População residente por Faixa Etária detalhada e Sexo
Período:2010
"Faixa Etária detalhada";"Masculino";"Feminino";"Total"
"Menor 1 ano";65097;62837;127934
"1 ano";63283;61303;124586
"2 anos";63066;61061;124127
"3 anos";65935;64375;130310
"4 anos";70220;66785;137005
"5 anos";71745;68254;139999
"6 anos";71251;69359;140610
"7 anos";71928;69026;140954
"8 anos";73097;69982;143079
"9 anos";80946;78171;159117
"10 anos";90370;86509;176879
"11 anos";86872;83750;170622
"12 anos";85455;82392;167847
"13 anos";87068;84102;171170
"14 anos";88864;86401;175265
"15 anos";93791;91176;184967
"16 anos";88158;86463;174621
"17 anos";87488;84591;172079
"18 anos";86192;84347;170539
"19 anos";86776;86755;173531
"20 a 24 anos";437737;433169;870906
"25 a 29 anos";445502;448497;893999
"30 a 34 anos";398879;409412;808291
"35 a 39 anos";366041;379078;745119
"40 a 44 anos";369087;391278;760365
"45 a 49 anos";372803;399833;772636
"50 a 54 anos";332590;360676;693266
"55 a 59 anos";277346;307163;584509
"60 a 64 anos";217076;247908;464984
"65 a 69 anos";155838;187741;343579
"70 a 74 anos";112895;149150;262045
"75 a 79 anos";73926;113162;187088
"80 anos e mais";67735;134166;201901
"Total";5205057;5488872;10693929
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
