 Óbitos por Causas Externas - Bahia
Óbitos p/Residênc por Faixa Etária e Sexo
Período:2010
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";41;27;-;68
"1 a 4 anos";74;42;-;116
"5 a 9 anos";95;42;-;137
"10 a 14 anos";189;62;-;251
"15 a 19 anos";1342;148;-;1490
"20 a 29 anos";3500;316;-;3816
"30 a 39 anos";2070;233;-;2303
"40 a 49 anos";1171;184;-;1355
"50 a 59 anos";726;142;-;868
"60 a 69 anos";451;141;-;592
"70 a 79 anos";290;116;-;406
"80 anos e mais";219;290;-;509
"Idade ignorada";220;17;20;257
"Total";10388;1760;20;12168
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
