 Mortalidade - Bahia
Óbitos p/Residênc por Faixa Etária e Sexo
Período:2010
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";2089;1697;28;3814
"1 a 4 anos";316;269;-;585
"5 a 9 anos";230;138;-;368
"10 a 14 anos";358;197;-;555
"15 a 19 anos";1588;329;-;1917
"20 a 29 anos";4254;911;1;5166
"30 a 39 anos";3697;1359;-;5056
"40 a 49 anos";4124;2169;-;6293
"50 a 59 anos";5358;3319;-;8677
"60 a 69 anos";6284;4503;-;10787
"70 a 79 anos";7386;6165;1;13552
"80 anos e mais";8755;10378;1;19134
"Idade ignorada";354;51;28;433
"Total";44793;31485;59;76337
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
